,Above ear - pull hair,Cheek - pinch skin,Drink from bottle/cup,Eyebrow - pull hair,Eyelash - pull hair,Feel around in tray and pull out an object,Forehead - pull hairline,Forehead - scratch,Glasses on/off,Neck - pinch skin,Neck - scratch,Pinch knee/leg skin,Pull air toward your face,Scratch knee/leg skin,Text on phone,Wave hello,Write name in air,Write name on leg
Above ear - pull hair,334,3,6,23,5,9,7,7,27,5,17,4,3,2,13,24,16,5
Cheek - pinch skin,10,320,4,12,8,0,11,15,27,7,23,2,9,5,21,20,13,3
Drink from bottle/cup,0,1,474,1,1,1,1,0,20,1,1,2,4,1,0,0,2,0
Eyebrow - pull hair,20,22,7,270,12,7,6,39,30,13,18,2,11,5,23,16,8,1
Eyelash - pull hair,13,12,4,17,263,7,16,18,19,15,25,2,12,3,21,51,12,0
Feel around in tray and pull out an object,3,1,1,1,2,469,0,1,24,0,1,1,2,3,0,0,0,1
Forehead - pull hairline,14,11,0,21,29,3,302,13,24,13,16,3,13,0,6,23,17,2
Forehead - scratch,0,14,5,15,13,0,5,342,20,16,11,3,9,2,8,23,20,4
Glasses on/off,1,4,4,1,1,0,2,0,486,0,4,1,1,0,2,0,2,1
Neck - pinch skin,10,16,3,23,13,2,9,9,14,317,31,2,9,2,15,28,5,2
Neck - scratch,10,21,9,17,3,3,9,20,28,20,292,3,13,4,13,25,18,2
Pinch knee/leg skin,1,5,2,2,0,1,1,1,17,0,0,470,2,1,2,2,0,3
Pull air toward your face,7,8,10,16,10,3,15,12,13,2,13,0,359,4,9,15,9,5
Scratch knee/leg skin,1,0,5,3,0,1,2,1,27,2,1,2,0,461,0,1,3,0
Text on phone,10,11,7,9,23,7,7,16,16,10,8,6,17,5,291,50,17,0
Wave hello,3,8,0,6,7,1,3,11,20,2,9,2,7,0,7,418,3,3
Write name in air,6,0,8,14,3,3,5,6,23,7,5,0,12,3,9,3,403,0
Write name on leg,0,4,0,3,1,0,4,3,21,0,1,1,1,0,2,1,0,468
